left_column,right_column,overlap_rows,pearson_r,spearman_rho,abs_pearson_r,exact_equal_on_overlap,max_abs_diff,mean_abs_diff
IPSyn_Total_severity_z,DSS_tbl_MV_severity_z,351,0.792493,0.725779,0.792493,0,33.020896,0.689571
DSS_tbl_PP_severity_z,severity_structural,360,0.792348,0.425121,0.792348,0,9.769685,0.840582
rule_generalization_errors_per_word_severity_z,severity_domain_composite,360,0.791965,0.372495,0.791965,0,5.641916,0.757809
IPSyn_Total_severity_z,DSS_tbl_score_severity_z,351,0.790396,0.661093,0.790396,0,17.938088,0.744460
MLU_Morphemes_severity_z,severity_domain_composite,360,0.783209,0.466591,0.783209,0,3.711108,0.845144
DSS_tbl_score_severity_z,DSS_tbl_NG_severity_z,360,0.780224,0.383954,0.780224,0,13.009379,0.913370
DSS_tbl_PP_severity_z,DSS_tbl_MV_severity_z,360,0.780085,0.362188,0.780085,0,28.105167,0.995818
DSS_tbl_MV_severity_z,pronoun_errors_per_word_severity_z,360,0.778569,0.108963,0.778569,0,17.432488,0.976481
DSS_tbl_MV_severity_z,Word_Errors_per_utt_severity_z,360,0.777880,0.146434,0.777880,0,14.354070,1.312781
determiner_errors_per_word_severity_z,severity_core_composite,360,0.776015,0.275425,0.776015,0,52.984339,1.079810
pronoun_errors_per_word_severity_z,severity_core_composite,360,0.774726,0.237491,0.774726,0,13.680867,0.775696
VOCD_D_optimum_average_severity_z,severity_core_composite,360,0.773682,0.527728,0.773682,0,9.385654,0.850000
severity_lexical,severity_core_composite,360,0.773682,0.527728,0.773682,0,9.385654,0.850000
DSS_tbl_CNJ_severity_z,severity_domain_composite,360,0.772671,0.261794,0.772671,0,6.332380,0.888852
Word_Errors_per_utt_severity_z,severity_structural,360,0.763082,0.174357,0.763082,0,15.845481,1.265557
DSS_tbl_NG_severity_z,severity_domain_composite,360,0.760047,0.393516,0.760047,0,5.090228,0.806883
DSS_tbl_score_severity_z,Word_Errors_per_utt_severity_z,360,0.757343,0.181085,0.757343,0,15.331308,1.333680
IPSyn_Total_severity_z,severity_core_composite,351,0.755947,0.706592,0.755947,0,11.861129,0.781584
pronoun_errors_per_word_severity_z,severity_structural,360,0.754384,0.116321,0.754384,0,15.143763,0.856489
VOCD_D_optimum_average_severity_z,severity_morphosyntax_burden,360,0.753776,0.145008,0.753776,0,12.217940,1.072761
severity_lexical,severity_morphosyntax_burden,360,0.753776,0.145008,0.753776,0,12.217940,1.072761
IPSyn_Total_severity_z,severity_domain_composite,351,0.751602,0.625959,0.751602,0,9.632351,0.752662
DSS_tbl_CNJ_severity_z,severity_core_composite,360,0.751295,0.488732,0.751295,0,11.218869,0.893051
DSS_tbl_PP_severity_z,severity_domain_composite,360,0.749505,0.366062,0.749505,0,4.785302,0.850085
bare_marking_errors_per_word_severity_z,severity_core_composite,360,0.747974,0.558036,0.747974,0,29.300637,1.319415
rule_generalization_errors_per_word_severity_z,severity_core_composite,360,0.742798,0.375480,0.742798,0,6.476435,0.899939
DSS_tbl_NG_severity_z,determiner_errors_per_word_severity_z,360,0.742045,0.078351,0.742045,0,59.916759,1.255462
DSS_tbl_score_severity_z,pronoun_errors_per_word_severity_z,360,0.741256,0.114780,0.741256,0,15.178423,0.971199
DSS_tbl_IR_severity_z,severity_lexical,360,0.740243,0.245329,0.740243,0,8.955917,0.910784
VOCD_D_optimum_average_severity_z,DSS_tbl_IR_severity_z,360,0.740243,0.245329,0.740243,0,8.955917,0.910784
MLU_Morphemes_severity_z,severity_morphosyntax_burden,360,0.739878,0.332996,0.739878,0,14.563172,1.058537
MLU_Morphemes_severity_z,determiner_errors_per_word_severity_z,360,0.739040,0.133815,0.739040,0,57.062799,1.303351
determiner_errors_per_word_severity_z,rule_generalization_errors_per_word_severity_z,360,0.738229,0.293416,0.738229,0,56.340915,1.069573
DSS_tbl_PP_severity_z,severity_lexical,360,0.736188,0.383742,0.736188,0,9.554457,0.935386
VOCD_D_optimum_average_severity_z,DSS_tbl_PP_severity_z,360,0.736188,0.383742,0.736188,0,9.554457,0.935386
DSS_tbl_MV_severity_z,DSS_tbl_IR_severity_z,360,0.734238,0.186796,0.734238,0,27.506628,1.084074
DSS_tbl_NG_severity_z,severity_lexical,360,0.732051,0.339386,0.732051,0,9.541477,0.937724
VOCD_D_optimum_average_severity_z,DSS_tbl_NG_severity_z,360,0.732051,0.339386,0.732051,0,9.541477,0.937724
DSS_tbl_IR_severity_z,determiner_errors_per_word_severity_z,360,0.726802,0.090581,0.726802,0,59.331199,1.226595
DSS_tbl_CNJ_severity_z,severity_morphosyntax_burden,360,0.726531,0.184787,0.726531,0,14.051155,1.088319
VOCD_D_optimum_average_severity_z,Word_Errors_per_utt_severity_z,360,0.724000,0.111383,0.724000,0,16.060709,1.377443
Word_Errors_per_utt_severity_z,severity_lexical,360,0.724000,0.111383,0.724000,0,16.060709,1.377443
MLU_Morphemes_severity_z,IPSyn_Total_severity_z,351,0.720027,0.492298,0.720027,0,7.782669,0.895790
pronoun_errors_per_word_severity_z,rule_generalization_errors_per_word_severity_z,360,0.719594,0.266342,0.719594,0,11.553364,0.802177
IPSyn_Total_severity_z,DSS_tbl_NG_severity_z,351,0.717797,0.542576,0.717797,0,4.928709,0.830480
DSS_tbl_PP_severity_z,DSS_tbl_CNJ_severity_z,360,0.711562,0.293499,0.711562,0,6.575409,0.994180
IPSyn_Total_severity_z,severity_lexical,351,0.710823,0.488830,0.710823,0,14.470185,0.906547
VOCD_D_optimum_average_severity_z,IPSyn_Total_severity_z,351,0.710823,0.488830,0.710823,0,14.470185,0.906547
