File_ID,DSS_tbl_source,DSS_tbl_relpath,DSS_tbl_transcript,DSS_tbl_transcript_relpath,DSS_tbl_command,DSS_tbl_score,DSS_tbl_score_is_na,DSS_tbl_warning_50,DSS_tbl_CNJ,DSS_tbl_IP,DSS_tbl_IR,DSS_tbl_MV,DSS_tbl_NG,DSS_tbl_PP,DSS_tbl_S,DSS_tbl_SV,DSS_tbl_TOT,DSS_tbl_WHQ
568,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/phase2/measures/dss/SLI/A/568.tbl.cex,phase2/measures/dss/SLI/A/568.tbl.cex,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/annotated/ENNI_batchalign/SLI/A/568.cha,data/annotated/ENNI_batchalign/SLI/A/568.cha,dss +t*CHI +deng.cut +leng,6.47,0,1,63,41,0,75,7,48,45,25,304,0
570,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/phase2/measures/dss/SLI/A/570.tbl.cex,phase2/measures/dss/SLI/A/570.tbl.cex,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/annotated/ENNI_batchalign/SLI/A/570.cha,data/annotated/ENNI_batchalign/SLI/A/570.cha,dss +t*CHI +deng.cut +leng,8.20,0,0,130,26,7,99,4,69,42,33,410,0
572,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/phase2/measures/dss/SLI/A/572.tbl.cex,phase2/measures/dss/SLI/A/572.tbl.cex,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/annotated/ENNI_batchalign/SLI/A/572.cha,data/annotated/ENNI_batchalign/SLI/A/572.cha,dss +t*CHI +deng.cut +leng,7.82,0,0,73,30,9,101,19,64,44,20,391,31
574,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/phase2/measures/dss/SLI/A/574.tbl.cex,phase2/measures/dss/SLI/A/574.tbl.cex,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/annotated/ENNI_batchalign/SLI/A/574.cha,data/annotated/ENNI_batchalign/SLI/A/574.cha,dss +t*CHI +deng.cut +leng,8.78,0,0,121,56,0,112,12,27,49,50,439,12
607,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/phase2/measures/dss/SLI/A/607.tbl.cex,phase2/measures/dss/SLI/A/607.tbl.cex,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/annotated/ENNI_batchalign/SLI/A/607.cha,data/annotated/ENNI_batchalign/SLI/A/607.cha,dss +t*CHI +deng.cut +leng,8.72,0,0,175,25,0,133,4,16,39,44,436,0
609,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/phase2/measures/dss/SLI/A/609.tbl.cex,phase2/measures/dss/SLI/A/609.tbl.cex,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/annotated/ENNI_batchalign/SLI/A/609.cha,data/annotated/ENNI_batchalign/SLI/A/609.cha,dss +t*CHI +deng.cut +leng,9.12,0,0,136,27,3,111,15,77,43,37,456,7
617,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/phase2/measures/dss/SLI/A/617.tbl.cex,phase2/measures/dss/SLI/A/617.tbl.cex,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/annotated/ENNI_batchalign/SLI/A/617.cha,data/annotated/ENNI_batchalign/SLI/A/617.cha,dss +t*CHI +deng.cut +leng,7.04,0,0,83,47,0,118,0,19,47,38,352,0
625,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/phase2/measures/dss/SLI/A/625.tbl.cex,phase2/measures/dss/SLI/A/625.tbl.cex,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/annotated/ENNI_batchalign/SLI/A/625.cha,data/annotated/ENNI_batchalign/SLI/A/625.cha,dss +t*CHI +deng.cut +leng,7.38,0,0,77,26,7,99,7,87,44,18,369,4
678,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/phase2/measures/dss/SLI/A/678.tbl.cex,phase2/measures/dss/SLI/A/678.tbl.cex,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/annotated/ENNI_batchalign/SLI/A/678.cha,data/annotated/ENNI_batchalign/SLI/A/678.cha,dss +t*CHI +deng.cut +leng,7.08,0,0,87,15,7,99,11,31,33,60,354,11
717,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/phase2/measures/dss/SLI/A/717.tbl.cex,phase2/measures/dss/SLI/A/717.tbl.cex,/Users/shamiraventurini/PycharmProjects/ICL-PILOT/data/annotated/ENNI_batchalign/SLI/A/717.cha,data/annotated/ENNI_batchalign/SLI/A/717.cha,dss +t*CHI +deng.cut +leng,7.20,0,0,97,29,0,123,14,40,48,7,360,2
