corpus,age_raw,story_id,transcript
ENNI,4;08.18,A1,"a elephant and. . a cow. and , the cow went in the water. the moon says no no. . then the , then the... it cried because , it didn't come in the water. yeah. then the. in the water. then , he , pick , up , a , apple. then her sad. . &=whispers beautiful. yeah. that's it."
ENNI,4;08.18,A2,"the elephant wanna go in the water. yeah then the let (u)s. no it (i)s... let (u)s go. then turn the other way. then her runned back there. yeah then her hurted her leg. and the... her dad elephant fixed a... bandaged it. no band:age. then her put on her. then he pick her up. wake her up. he , going to go put her bandage on. then the...... they sitting on the bench. a bench. yes."
ENNI,4;08.18,A3,"they talking. then her eye came to close. and her say I no like airplanes. then like an airplane. then he give it to her. then he say give it back. then her put it in the water. in the water. then , he was mad at her. then , the airplane , in the water. &=whispers in the water. . he's going get almost in the water. then &-uh he can't reach it , the bad elephant. then , he cried. and then , the mom. and it can n(o)t get it. then her get it. that (i)s , all. then him give it to her. then , her , her got got a shovel. and her got it. . yeah."
ENNI,4;08.18,B1,"&-um... what is this? okay. this is a is a bunny rabbit. this is a dog. he (i)s... the dog , he put lots of sand bucket. then he put it on the sa:ndcastle him make. he... the bunny rabbit put... sand in his bucket. then he put it on the dog's castle. then he going try to put it in. then he will... then he dumped it. then he said he do n(o)t lo... can n(o)t any more. and then he cried and he said ha. that (i)s all."
ENNI,4;08.18,B2,"the bunny rabbit and the dog they was going for a picnic with the bas basket. food. no fruits in there. yeah and there was... , he jus... he eat his own bun. then he he have a drinks. and he have , a bun dog. and he hafta drink. and then , a bunny rabbit his tummy was hurting because he eat all food. he... then , the dog talked to other bunny. then &-uh he said wait. &-uh then he said I (wi)ll pulled her jacket. &-um then... the bunny and the other &-uh bunny , he did n(o)t feel like coming. and he (i)s going helping to feel his tummy. then he feels great. and that (i)s his grandma... bunny. the end."
ENNI,4;08.18,B3,"&-um the dog he have a a um he have wheels for he (i)s pushing. then he can push with somebody gets in with when. there (i)s a balloon on it with tape. and then he (i)s going push it. he will and then he going get it. hold it tight. and then he he ties it off. then it blowed away. then he feels that...... he was... he said he was m the dog was m mad. then the bunny rabbit (i)s going to get balloons fr from that man , the bunny rabbit man. and then he he... one for... he give one for the dog and the bunny rabbit. then the they having a balloon. then there was find they have. the bunny rabbit find a balloon. and then he s he said he s the kid's bunny rabbit mom he give him , a balloon. then it (i)s the end."
EisenbergGuo,3;08.,Snow,he throw snowballs. &~uh her her &~w is is &~c all cover with snow. is covered with snow. they boom_boom_boom_boom_boom_boom@c. they they they 0are pulling. they 0are pulling. they boom_boom_boom_boom_boom_boom@c.
EisenbergGuo,3;08.,Sandbox,"they're pulling. he her stop. her stop. no , her stop stop stop stop stop. they +/. mom mom give they wagon. this , they wagon. they."
EisenbergGuo,3;08.,Scissors,"they 0are cutting. and +/. &~um they hadta be quiet. and then grandma hadta cut it. she hadta cut it , put it nice nice right in there. 0. and then grandpa 0v be quiet."
EisenbergGuo,3;08.,Cat,"&~um a cat. and then a cat a cat a cat , go up the tree. a cat 0is gonna fall to this. a a a cat gonna &~dr put this put a cat up again and then and then put a cat down +/. he goes ring_around_the_rosie. 0. he get over. and then he go to sleep. &~um &~um um: &~uh &~uh &~uh and put put that that that that cat down down down and then. &~um and then a roof &~o over the. then hafta hafta jump over her roof."
