summary_level,group,story_id,n_synthetic,n_real_baseline,synthetic_token_count_median,real_token_count_median,synthetic_type_token_ratio_median,real_type_token_ratio_median,synthetic_nearest_tfidf_median,real_nearest_tfidf_median,synthetic_nearest_tfidf_within_real_iqr_share,synthetic_nearest_rouge_l_median,real_nearest_rouge_l_median,synthetic_nearest_rouge_l_within_real_iqr_share,synthetic_bigram_perplexity_median,real_bigram_perplexity_median,synthetic_bigram_perplexity_within_real_iqr_share,synthetic_bigram_perplexity_over_real_median
story,SLI,A1,110,11,41.0,39.0,0.6201298701298701,0.5454545454545454,0.26007965295467905,0.18204540011339687,0.11818181818181818,0.23363438591864988,0.25396825396825395,0.2909090909090909,115.7929441406119,91.8065009242228,0.2,1.2612717288527044
story,SLI,A2,110,11,51.5,46.0,0.6970514950166113,0.5217391304347826,0.24729052580155797,0.17771007224490473,0.01818181818181818,0.2232606438213915,0.26506024096385544,0.15454545454545454,139.00622406341893,116.60697545225412,0.21818181818181817,1.1920918411980972
story,SLI,A3,110,11,62.0,68.0,0.5793287566742944,0.39285714285714285,0.27867051812818855,0.198616255408552,0.07272727272727272,0.22474502185526954,0.2696629213483146,0.16363636363636364,135.0011146989293,99.8164677470657,0.14545454545454545,1.3524934086129083
story,SLI,B1,110,11,52.0,28.0,0.6239754098360656,0.5652173913043478,0.28769229061848434,0.14970274270951844,0.02727272727272727,0.2159090909090909,0.25,0.6545454545454545,114.93097565976751,94.2332103432962,0.2909090909090909,1.2196440643491646
story,SLI,B2,110,11,55.5,45.0,0.6521604938271606,0.5111111111111111,0.24560362294924049,0.17549477372147143,0.08181818181818182,0.18867924528301885,0.2702702702702703,0.4090909090909091,169.28158926513294,117.73505742715363,0.14545454545454545,1.437818037927002
story,SLI,B3,110,11,81.0,85.0,0.5889130713096915,0.4264705882352941,0.25014706317501173,0.1729803567785281,0.00909090909090909,0.21162458622703967,0.265625,0.13636363636363635,175.04809279660122,127.05308083905932,0.06363636363636363,1.3777555934935426
story,TD,A1,110,45,49.0,50.0,0.6145104895104896,0.5714285714285714,0.25653558836389473,0.21321178996696424,0.4090909090909091,0.35843454790823204,0.3823529411764706,0.6363636363636364,130.62865080292482,78.3911592674143,0.24545454545454545,1.666369677699417
story,TD,A2,110,45,56.0,65.0,0.6890898812888637,0.5405405405405406,0.24174153501834653,0.1954816708159264,0.13636363636363635,0.283259587020649,0.3232323232323232,0.509090909090909,183.81478096082478,114.29135098312136,0.15454545454545454,1.6083000102778617
story,TD,A3,110,45,68.0,114.0,0.6,0.4233576642335766,0.22027245582594507,0.20344291972031525,0.6181818181818182,0.27300959909655564,0.3571428571428571,0.09090909090909091,196.44563534669385,96.08060373643137,0.09090909090909091,2.0445920165695894
story,TD,B1,110,45,66.0,47.0,0.5954913880445796,0.625,0.24021504816737937,0.21275181956595945,0.3181818181818182,0.28474903474903474,0.3544303797468354,0.15454545454545454,157.27765799501861,88.74484375546058,0.20909090909090908,1.77224559015961
story,TD,B2,110,45,62.0,70.0,0.6538033395176253,0.5483870967741935,0.2054476409420013,0.16161577667806012,0.16363636363636364,0.24661654135338346,0.28735632183908044,0.33636363636363636,257.6576114486509,164.59182994977135,0.17272727272727273,1.565433785670167
story,TD,B3,110,45,91.0,117.0,0.5786616161616162,0.4726027397260274,0.1959550038166137,0.1788813209455553,0.6363636363636364,0.2551663128096249,0.31521739130434784,0.1,206.44486932603695,126.63608626533649,0.18181818181818182,1.630221490685362
group,SLI,ALL,660,66,56.0,52.5,0.6199857372080584,0.5055555555555555,0.2614648845103967,0.1729803567785281,0.03787878787878788,0.21750394232935347,0.2646055921800409,0.3515151515151515,138.92830563524387,103.24475488203242,0.3015151515151515,1.3456209547301798
group,TD,ALL,660,270,64.0,75.5,0.6216216216216216,0.5202040816326531,0.2279010101959849,0.19010661459306658,0.42727272727272725,0.276989676989677,0.33208020050125314,0.32272727272727275,186.81315928187325,109.36301052797425,0.26212121212121214,1.7081932765017274
overall,ALL,ALL,1320,336,60.0,69.5,0.6209508881922675,0.5186206896551724,0.2438263853802929,0.18681789339049076,0.25,0.24742268041237112,0.31385921042661213,0.3,155.4966483469112,107.20913488719171,0.3643939393939394,1.4504048419990414
